Lowest bound: (Person C, $5) (Person A, $2) (Person C, $1) (Person D, $4) = 12
Possible bound for Job 1: (Person A, $9) (Person B, $4) (Person C, $1) (Person D, $4) = 18
Possible bound for Job 1: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
Possible bound for Job 1: (Person C, $5) (Person A, $2) (Person B, $3) (Person D, $4) = 14
Possible bound for Job 1: (Person D, $7) (Person A, $2) (Person C, $1) (Person B, $7) = 17
Lowest bound for Job 1: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
Possible bound for Job 2: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
Possible bound for Job 2: (Person B, $6) (Person C, $8) (Person A, $7) (Person D, $4) = 25
Possible bound for Job 2: (Person B, $6) (Person D, $6) (Person C, $1) (Person A, $8) = 21
Lowest bound for Job 2: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
Possible bound for Job 3: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
Possible bound for Job 3: (Person B, $6) (Person A, $2) (Person D, $9) (Person C, $8) = 25
Lowest bound for Job 3: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
Possible bound for Job 4: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
Lowest bound for Job 4: (Person B, $6) (Person A, $2) (Person C, $1) (Person D, $4) = 13
